;Unnamed: 0;img_artiste;url_img_taille_adaptee;url_redir;url_img_secours;artiste;lieu;even_streaming;titre;loc;icone_epingle;url_even;url_artiste;txt_watch_live;est_plus;txt_redir;RSVP;RSVP_int;horaire_debut;horaire_fin;fuseau;regle_affichage;locale;latitude;longitude;weekend_vdd_soir;artiste_provenance
381;381;https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/02.png;https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/01.webp;https://www.bandsintown.com/e/1032072252-stars-of-comedy-at-harrah's-las-vegas?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp;https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/07.png;Stars Of Comedy;Harrah's Las Vegas;False;;Las Vegas, NV;https://assets.prod.bandsintown.com/images/pinIcon.svg;https://www.bandsintown.com/e/1032072252-stars-of-comedy-at-harrah's-las-vegas?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;https://www.bandsintown.com/a/6111495-stars-of-comedy?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;Watch Live;False;Tickets & RSVP;0;0;2024-10-14 21:30:00;;America/Los_Angeles;datetime;en;36.1193033;-115.17116250031411;0;
383;383;https://photos.bandsintown.com/thumb/17499519.jpeg;https://media.bandsintown.com/110x110/17499519.webp;https://www.bandsintown.com/e/105985647-dez-hoston-and-the-longwood-band-at-ole-red-las-vegas?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp;https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/03.png;Dez Hoston & The Longwood Band;Ole Red Las Vegas;False;Ole Red Las Vegas;Las Vegas, NV;https://assets.prod.bandsintown.com/images/pinIcon.svg;https://www.bandsintown.com/e/105985647-dez-hoston-and-the-longwood-band-at-ole-red-las-vegas?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;https://www.bandsintown.com/a/15508304-dez-hoston-and-the-longwood-band?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;Watch Live;False;Tickets & RSVP;0;0;2024-10-14 22:00:00;;America/Los_Angeles;datetime;en;;;0;
402;402;https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/05.png;https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/01.webp;https://www.bandsintown.com/e/1032448553-joe-praino-at-brad-garrett's-comedy-club?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp;https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/03.png;Joe Praino;Brad Garrett's Comedy Club;False;;Las Vegas, NV;https://assets.prod.bandsintown.com/images/pinIcon.svg;https://www.bandsintown.com/e/1032448553-joe-praino-at-brad-garrett's-comedy-club?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;https://www.bandsintown.com/a/15518727-joe-praino?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;Watch Live;False;Tickets & RSVP;0;0;2024-10-15 20:00:00;;America/Los_Angeles;datetime;en;;;0;
433;433;https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/07.png;https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/05.webp;https://www.bandsintown.com/e/1032448993-joe-praino-at-brad-garrett's-comedy-club?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp;https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/08.png;Joe Praino;Brad Garrett's Comedy Club;False;;Las Vegas, NV;https://assets.prod.bandsintown.com/images/pinIcon.svg;https://www.bandsintown.com/e/1032448993-joe-praino-at-brad-garrett's-comedy-club?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;https://www.bandsintown.com/a/15518727-joe-praino?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;Watch Live;False;Tickets & RSVP;0;0;2024-10-16 20:00:00;;America/Los_Angeles;datetime;en;;;0;
475;475;https://photos.bandsintown.com/thumb/17142993.jpeg;https://media.bandsintown.com/110x110/17142993.webp;https://www.bandsintown.com/e/105857365-dez-hoston-and-the-longwood-band-at-carnaval-court?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp;https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/05.png;Dez Hoston & The Longwood Band;Carnaval Court;False;Carnaval Court - Harrah's - Las Vegas, NV;Las Vegas, NV;https://assets.prod.bandsintown.com/images/pinIcon.svg;https://www.bandsintown.com/e/105857365-dez-hoston-and-the-longwood-band-at-carnaval-court?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;https://www.bandsintown.com/a/15508304-dez-hoston-and-the-longwood-band?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;Watch Live;False;Tickets & RSVP;0;0;2024-10-17 20:00:00;;America/Los_Angeles;datetime;en;36.11874;-115.1718204;0;
481;481;https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/03.png;https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/08.webp;https://www.bandsintown.com/e/1032448170-joe-praino-at-brad-garrett's-comedy-club?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp;https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/06.png;Joe Praino;Brad Garrett's Comedy Club;False;;Las Vegas, NV;https://assets.prod.bandsintown.com/images/pinIcon.svg;https://www.bandsintown.com/e/1032448170-joe-praino-at-brad-garrett's-comedy-club?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;https://www.bandsintown.com/a/15518727-joe-praino?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;Watch Live;False;Tickets & RSVP;0;0;2024-10-17 20:00:00;;America/Los_Angeles;datetime;en;;;0;
493;493;https://photos.bandsintown.com/thumb/17404638.jpeg;https://media.bandsintown.com/110x110/17404638.webp;https://www.bandsintown.com/e/105865123-takilma-at-the-sand-dollar-lounge?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp;https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/07.png;Takilma;The Sand Dollar Lounge;False;Takilma ;Las Vegas, NV;https://assets.prod.bandsintown.com/images/pinIcon.svg;https://www.bandsintown.com/e/105865123-takilma-at-the-sand-dollar-lounge?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;https://www.bandsintown.com/a/2504507-takilma?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;Watch Live;False;Tickets & RSVP;0;0;2024-10-17 22:00:00;2024-10-17T23:00:00;America/Los_Angeles;datetime;en;36.1260729;-115.1851851;0;
555;555;https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/02.png;https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/07.webp;https://www.bandsintown.com/e/1032449446-joe-praino-at-brad-garrett's-comedy-club?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp;https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/08.png;Joe Praino;Brad Garrett's Comedy Club;False;;Las Vegas, NV;https://assets.prod.bandsintown.com/images/pinIcon.svg;https://www.bandsintown.com/e/1032449446-joe-praino-at-brad-garrett's-comedy-club?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;https://www.bandsintown.com/a/15518727-joe-praino?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;Watch Live;False;Tickets & RSVP;0;0;2024-10-18 20:00:00;;America/Los_Angeles;datetime;en;;;1;
571;571;https://photos.bandsintown.com/thumb/16321470.jpeg;https://media.bandsintown.com/110x110/16321470.webp;https://www.bandsintown.com/e/106018762-alleykat-at-the-lexi?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp;https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/05.png;alleykat;The Lexi;False;;Las Vegas, NV;https://assets.prod.bandsintown.com/images/pinIcon.svg;https://www.bandsintown.com/e/106018762-alleykat-at-the-lexi?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;https://www.bandsintown.com/a/15517625-alleykat?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;Watch Live;False;Tickets & RSVP;1;1;2024-10-18 21:00:00;;America/Los_Angeles;datetime;en;36.0184782;-84.07976830887243;1;
604;604;https://photos.bandsintown.com/thumb/8625600.jpeg;https://media.bandsintown.com/110x110/8625600.webp;https://www.bandsintown.com/e/1030133452-the-wonder-years-at-las-vegas-festival-grounds?came_from=257&utm_medium=web&utm_source=home&utm_campaign=ticket_rsvp;https://assets.prod.bandsintown.com/images/homeIcon/festivalPlaceHolderImage/01.png;The Wonder Years;Las Vegas Festival Grounds;False;When We Were Young 2024;Las Vegas, NV;https://assets.prod.bandsintown.com/images/pinIcon.svg;https://www.bandsintown.com/e/1030133452-the-wonder-years-at-las-vegas-festival-grounds?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;https://www.bandsintown.com/a/40795-the-wonder-years?came_from=257&utm_medium=web&utm_source=home&utm_campaign=event;Watch Live;False;Tickets & RSVP;61;61;2024-10-19 11:00:00;;America/Los_Angeles;datetime;en;36.1420022;-115.16235229022962;1;
